,text,newText
0,"After crossing the Nullarbor, and in tribute to @WiebeWkkr, there is only one way to celebrate 🙂🍻 https://t.co/aIIsxtvK13","['crossing', 'Nullarbor', ' ', 'tribute', '  ', 'way', 'celebrate', '   ']"
1,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
2,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
3,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
4,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
5,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
6,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
7,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
8,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
9,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
10,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
11,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
12,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
13,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
14,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
15,Turns out I can’t eat now either.,"['Turns', 't', 'eat']"
16,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
17,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
